Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
1255652,[Another edition.],London,1874,,,,"Braddon, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001255652,British Library HMNTS 12631.n.4.
1255653,,London,1868,Richard Bentley,Through Flood and Flame,,"Baring, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001255653,British Library HMNTS 12631.dd.3.
1255789,,Rouen,1883,,Anecdotes Normandes,"Floquet, Pierre Amable, ","Robillard De Beaurepaire, Charles Marie De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001255789,British Library HMNTS 10168.i.24.
1255870,,London,1670,,Flora's Vagaries; a comedy ,,"Rhodes, Richard , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001255870,British Library HMNTS 644.f.39.|British Library HMNTS 161.c.27.
1257099,"Terza edizione eseguita sopra quella del 1797, riordinata e compiute dall'autore [M. Lastri], coll'aggiunta di varie annotazioni del professore G. del Rosso, etc.",Firenze,1821,,],,"Rosso, Giuseppe Del, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001257099,British Library HMNTS 10131.e.27.
1257398,,London,1874,,The Fall of Prince Florestan of Monaco,,"Dilke, Charles Wentworth , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001257398,British Library HMNTS 12637.i.11.
1257399,,Londres,1874,,La Chûte du Prince Florestan de Monaco,,"Dilke, Charles Wentworth , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001257399,British Library HMNTS 12637.i.19.
1257448,Décima octava edicion. Corregida y aumentada por el P. Maestro Fray J. de la Canal ... Anotada y continuada en 1851 por los redactores de esta Biblioteca y aumentada considerablemente y concluida hasta nuestros dias por el Director de la misma Biblioteca Don N. Malo.,Madrid,1854,Officinas de Biblioteca Universal de Autores Católicos,,"Florez, Henrique, ","Canal, José De La, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001257448,British Library HMNTS 9007.f.17.
1257520,,London,1863,Hurst & Blackett,Florian's Husband,,"Gunn, Barbara, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001257520,British Library HMNTS 12634.a.1.
1257821,,Écija,1893,,Grandezas de Ecija,"Florindo, Andres, ","Roa, Martin De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001257821,British Library HMNTS 10161.de.29.
1258486,New edition.,"London, Guildford [printed]",1867,,],,"Broughton, Rhoda, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001258486,British Library HMNTS 12618.bb.6.
1258661,,London,1822,,"Letters from the Illinois, 1820, 1821","Flower, Richard, ","Birkbeck, Morris, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001258661,British Library HMNTS 1052.e.10.
1258720,,London,1897,Chapman & Hall,Aquitaine: a traveller's tales,"Flower, Wickham, ","Pennell, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001258720,British Library HMNTS 10174.k.2.
1258842,,London; printed in Bavaria,[1895.],E. Nister,Flowers of Song,,"Weatherly, Frederick Edward, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001258842,British Library HMNTS 11650.g.54.
1258916,,London,1864,,Aurora Floyd,"Floyd, Aurora, ","Braddon, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001258916,British Library HMNTS 12618.bb.7.
1259017,,London,1882,Griffith & Farran,Unexplored Balūchistan,"Floyer, Ernest Ayscoghe, ","Goldsmid, Frederic John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001259017,British Library HMNTS 010056.dd.61.|British Library OC V 3153
1259903,,Oxford,1895,Clarendon Press,An Introduction to Chemical Crystallography ,"Fock, Andreas, ","Maskelyne, Mervin Herbert Nevil Story , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001259903,British Library HMNTS 7109.aaa.30.
1260427,,Berlin,1891,,Dr,"Foerster, Eli, ","Foerster, Bernhard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001260427,British Library HMNTS 10481.ff.34.
1260978,,London,1890,Remington & Co.,Daniele Cortis,"Fogazzaro, Antonio, ","Simeon, Stephen Louis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001260978,British Library HMNTS 012632.g.50.
1261202,,London,1875,"Sampson Low, Marston, etc.",Arabistan: or the Land of “The Arabian Nights,"Fogg, William Perry, ","Taylor, Bayard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001261202,British Library HMNTS 10077.de.3.|British Library HMNTS 10076.eee.9.
1261484,,Toulouse,1898,,Censier du pays de Foix à la fin du XIVe siècle Assiette des impôts directs établie selon l'ordonnance de Gaston Phébus en 1385,,"BarrièRe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001261484,British Library HMNTS 010168.ff.12.
1261652,,Middelburg,1857,,De Gestichten en Openbare Gebouwen van Middelburg,"Fokker, Adriaan Abraham , ","Man, Jan Cornelis De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001261652,British Library HMNTS 10271.e.14.
1262661,,Upsala,1851,,Helsingborgs Historia ,"Follin, Elias, ","Wieselgren, Peter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001262661,British Library HMNTS 010281.f.7.
1264116,,Paris,1869,,"Le Canal maritime de Suez, illustré","Fontane, Marius, ","Riou, ÉDouard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001264116,British Library HMNTS 10095.i.17.
1265306,,London,1892,Osgood & McIlvaine,An Exquisite Fool,,"Poynter, Eleanor Frances, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001265306,British Library HMNTS 012641.f.22.
1265360,,London,[1879.],,The Cloven Foot,,"Braddon, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001265360,British Library HMNTS 12625.m.6.
1265363,,London,1869,Richard Bentley,One Foot on Shore,,"Bewicke, Afterwards Little, Alicia E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001265363,British Library HMNTS 12624.dd.4.
1265396,,Capetown,1896 [1906],T. Maskew Miller,"Cutting Capers, Caper Sauce, and other poems","Foot, Henry Martyn, ","Hay, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001265396,British Library HMNTS 11649.f.52.
1266102,,Bruxelles,1877,,Mémoires secrets ,"Foppens, Hadrianus, ","Galesloot, Louis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001266102,British Library HMNTS 9414.bbb.2.
1266188,,Boston [Mass.],1868,,My Campaigns in America: a journal ,"Forbach, Guillaume De , ","Green, Samuel Abbott, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001266188,British Library HMNTS 9603.e.22.
1266335,,London,[1895-97],Cassell & Co.,Illustrated Battles of the Nineteenth Century,"Forbes, Archibald , ","Griffiths, Arthur George Frederick, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001266335,British Library HMNTS 9025.gg.2.
1266718,,London,1834,R. Bentley,Oriental Memoirs ,"Forbes, James","Montalembert, Eliza De , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001266718,British Library HMNTS 010056.g.9.|British Library OC T 34164
1267870,,"Cleveland, Ohio",1881,L. A. Williams & Co.,"History of Cincinnati, Ohio, with illustrations and biographical sketches","Ford, Henry A, ","Ford, Kate B, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001267870,British Library HMNTS 10408.k.1.
1267871,,"Cleveland, Ohio",1881,Williams & Co.,"History of Hamilton County, Ohio, with illustrations and biographical sketches","Ford, Henry A, ","Ford, Kate B, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001267871,British Library HMNTS 10408.k.4.
1268005,,London,1827,,The Dramatic Works of John Ford ,"Ford, John , ","Gifford, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001268005,British Library HMNTS 642.h.26.
1269462,,London,1850,,"Norway in 1848 and 1849: containing rambles among the fjelds and fjords of the central and western districts and including remarks on its political, military, ecclesiastical and social organization","Forester, Thomas, ","Biddulph, Michael Anthony Shrapnel , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001269462,British Library HMNTS 10280.d.20.
1269984,,Forli,1849,,Iscrizione nella Città di F,,"Casali, Giovanni, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001269984,British Library HMNTS 10131.f.5.
1270246,,Cincinnati,1888,R. Clarke & Co.,Narrative of a journey down the Ohio and Mississippi in 1789-90 ,"Forman, Samuel S, ","Draper, Lyman Copeland",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001270246,British Library HMNTS 10409.cc.27.
1270889,,Paris,1890-92,,"Histoire générale des Alpes Maritimes ou Cottiènes et particulière de leur métropolitaine Ambrun, etc","Fornier, Marcellin, ","Albert, Antoine, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001270889,British Library HMNTS 010169.k.5.
1270932,,Madrid,1893,,De Llanes á Covadonga,"Foronda Y Aguilera, Manuel De, ","Gomez De Arteche Y Moro, José, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001270932,British Library HMNTS 10161.de.3.
1271231,,London,1875,,Explorations in Australia,"Forrest, John , ","Angas, George French, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001271231,British Library HMNTS 10491.s.3.
1272399,,Halle a. S,1893,,"Briefe und Tagebücher George Forsters von seiner Reise am Niederrhein, in England und Frankreich im Frühjahr 1790","Forster, Johann Georg Adam, ","Leitzmann, Albert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001272399,British Library HMNTS 10108.g.3.
1272520,,London,1872,,Episodes of Life,"Forster, Jonathan Langstaff, ","Forster, Henry Langstaff, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001272520,British Library HMNTS 11650.g.13.
1273595,,London,1820,John Murray,"The two first cantos of Richardetto, freely translated from the original of N","Forteguerri, Niccolò , ","Merivale, John Herman , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001273595,British Library HMNTS 992.i.25.(3.)
1273707,,London,1869,,The Works of Sir J,"Fortescue, John , ","Fortescue, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001273707,British Library HMNTS 12268.i.5.
1274464,,London,1869,,Equal to either Fortune,,"Maughan, Afterwards Story, Janet Leith, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001274464,British Library HMNTS 12631.dd.5.
1276058,,Philadelphia,1848,G. B. Zieber & Co.,"The French Revolution of 1848; its causes, actors, events and influences","Foster, George G, ","English, Thomas Dunn",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001276058,British Library HMNTS 9200.cc.20.
1276358,,Knaresbrough,1822,W. Langdale,"A Letter to Walter Fawkes, Esq","Foster, John , ","Fawkes, Walter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001276358,British Library HMNTS 10347.ee.18.(5.)
1277421,,Lille,1890-93,,La Défense nationale dans le Nord de 1792 à 1802 ,"Foucart, Paul , ","Durieux, Achille, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001277421,British Library HMNTS 9226.m.13.
1277774,,Bernay,1890,,Une Histoire de Bernay écrite en 1765,,"Veuclin, V, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001277774,British Library HMNTS 10106.i.1.(7.)
1278374,,London,"1804, 05",Privately printed,The F,,"Sayers, Elizabeth, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001278374,British Library HMNTS 11642.g.12.
1278407,[Another edition.],London,1691,,],"Fountain, John , ","Shadwell, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001278407,British Library HMNTS 644.i.41.
1279230,,Wien,1880,,Gentz und Cobenzl,"Fournier, August , ","Cobenzl, Johann Ludwig Joseph , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001279230,British Library HMNTS 9314.g.15.
1281327,,Hamburg,1810,,Geschichte der früheren Regierungszeit James des Zweyten; mit einem einleitenden Capitel ,"Fox, Charles James","Soltau, Dietrich Wilhelm, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001281327,British Library HMNTS 09505.i.2.
1281331,,Hawick,[1808?],,Observations on a passage in the preface to Mr,"Fox, Charles James","Somerville, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001281331,British Library HMNTS 806.e.19.
1281360,,Sudbury,1808,,Charles's small-clothes: a national ode ,"Fox, Charles James","Stewart, Charles Edward , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001281360,British Library HMNTS 11641.g.19.
1281370,,London,1780,R. Faulder,Epistle from the Hon,"Fox, Charles James","Tickell, Richard, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001281370,British Library HMNTS 11602.g.31.(4.)
1282663,,London,1899,T. Burleigh,Verses for Grannie,"Fox, S, ","Drew, Dorothea A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001282663,British Library HMNTS 11651.l.46.
1282828,,London,1865-68,,Memorial Edition of Collected Works of W,"Fox, William Johnson, ","Hodgson, W, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001282828,British Library HMNTS 12273.bbb.3.
1283107,,London,1827,,History of the war in the Peninsula under Napoleon ,"Foy, Maximilien SéBastien , ","Foy, Elisabeth Auguste , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001283107,British Library HMNTS 1060.f.8-9.
1283971,,Glasgow,1859,T. Murray & Son,Fragments of the Table Round,,"Buchanan, Robert , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001283971,British Library HMNTS 11646.h.7.
1284056,,Rouen,1888,,Rouen-bizarre,"Fraigneau, A, ","Dubosc, Georges, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001284056,British Library HMNTS 10168.f.18.
1284131,,Paris,[1895],,Les Montagnes de France,"Fraipont, Gustave, ","Fournier, Alban, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001284131,British Library HMNTS 10172.i.15.
1284312,,London,1858,,F,,"Wedgwood, Frances Julia, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001284312,British Library HMNTS 12634.d.2.
1304839,,New York,1854,," Narrative of a voyage to the northwest coast of America in the years 1811, 1812, 1813, and 1814; or the first American settlement on the Pacific ","FranchèRe, Gabriel, ","Huntington, Jedediah Vincent, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001304839,British Library HMNTS 10411.c.10.
1306116,,Bristol,1781,,An elegiac poem sacred to the memory of ,"Francis, Benjamin , ","Evans, Hugh , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001306116,British Library HMNTS 11643.bbb.19.(1.)
1306538,"[Another edition.] With a memoir of the author, by H. T. Tuckerman. L.P.",New York,1865,,,"Francis, John Wakefield , ","Tuckerman, Henry Theodore, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001306538,British Library HMNTS 10411.h.8.
1306654,[Another edition.] In a North Country Village ... Illustrated by F. Felloes.,London,1896,Osgood & Co.,,"Francis, M, ","Felloes, Frank, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001306654,British Library HMNTS 012627.i.5.
1307199,,Lisboa,1890,,"Os Portuǵuezes na Africa, Asia, America e Oceania, ou historia chronologica dos descobrimentos ",,"Pinheiro Chagas, Manuel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001307199,British Library HMNTS 10027.dd.3.
1307227,,Porte,1852,,Diccionario geographico abreviado de Portugal e suas possessões ultramarinos; ,,"Fernandes Pereira, Antonio, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001307227,British Library HMNTS 10004.f.15.
1311260,,London,1859,,The Jews in the East,"Frankl, Ludwig August, ","Beaton, Patrick, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001311260,British Library HMNTS 10076.c.12.
1311341,,Budapest,1886,,"Ungarn vor der Schlacht bei Mohács, 1524-1526","Frankl, Afterwards FraknóI, Vilmos, ","Schwicker, Johann Heinrich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001311341,British Library HMNTS 9314.cc.5.
1311432,,Franklin,1879,,"A History of the Town of Franklin, Mass",,"Blake, Mortimer, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001311432,British Library HMNTS 10409.i.2.
1311973,,London,[1852?],,"Recent Expeditions to the Polar Regions, including all the voyages undertaken in search of Sir J","Franklin, John , ","Huish, Robert, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001311973,British Library HMNTS 10460.e.18.|British Library HMNTS RB.23.a.4814.
1313323,,Milano,1892,,Aure Africane,"Franzoj, Augusto, ","Bertacchi, Cosimo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001313323,British Library HMNTS 010096.e.47.
1314810,,London,1881,W. H. Allen & Co.,Records of Sport and Military Life in Western India ,"Fraser, Thomas Gamble, ","Malleson, George Bruce, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001314810,British Library HMNTS 10055.df.10.|British Library OC T 37205
1315204,,Edinburgh,1857,,Fraud and Friendship; or the orphan and the foundling of the King's printing-house,,"Pae, David , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001315204,British Library HMNTS 12632.d.8.
1315524,,London,1859,,Letters of Colonel Sir A,"Frazer, Augustus Simon , ","Sabine, Edward , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001315524,British Library HMNTS 1311.e.18.
1315685,,London,1895,T. Fisher Unwin,Silent Gods and Sunsteeped Lands ,"Frazer, Robert Watson, ","Maccormick, Arthur David, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001315685,British Library HMNTS 012628.e.29.
1315873,,Toronto,1899,G. N. Morang & Co.,Christmas in French Canada,"FréChette, Louis Honoré, ","Coburn, Frederick Simpson, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001315873,British Library HMNTS 012624.h.7.|British Library HMNTS 012624.h.8.
1315937,,"London, Guildford [printed]",1878,,Freda,,"Hart, Elizabeth Anna, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001315937,British Library HMNTS 12639.cc.7.
1316113,,Toronto,1899,W. Briggs,The Market-Place ,"Frederic, Harold, ","Fisher, Harrison , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001316113,British Library HMNTS 012622.f.30.
1316224,,London,1800,,The Campaign; to ,,"Bolland, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001316224,British Library HMNTS 11641.f.24.|British Library HMNTS 11642.cc.32.(5.)
1316890,,London,1814,,"Songs, duetts, chorusses, etc",,"Arnold, Samuel James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001316890,British Library HMNTS 643.f.16.(7.)
1316891,[Another edition.],London,1815,,]: Appendix,,"Arnold, Samuel James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001316891,British Library HMNTS 11779.c.52.
1318028,,Thomas Nelson & Sons,1889,"London, etc.",In palace and faubourg,"Freeland, Caroline J, ","G, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001318028,British Library HMNTS 012632.g.1.
1318325,,London,1850,,"Poems, legendary and historical","Freeman, Edward Augustus, ","Cox, George William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001318325,British Library HMNTS 11645.f.9.
1318338,,London,1897,Macmillan & Co.,Sketches of Travel in Normandy and Maine ,"Freeman, Edward Augustus, ","Freeman, Florence, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001318338,British Library HMNTS 10169.e.5.
1319079,,London,1731,,"The Generous Freemason; or, the Constant Lady","Freemasons, ","Chetwood, William Rufus, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001319079,British Library HMNTS 992.k.8.(2.)|British Library HMNTS 82.e.36.(4.)
1320626,,Montevideo,1886,,Artigas,"Fregeiro, Clemente L, ","Artigas, José Gervasio, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001320626,British Library HMNTS 9772.ee.21.
1321062,,Zielenzig,1887-92,,Urkundliche Geschichte des Landes Sternberg,"Freier, Wilhelm, ","Freier, Barthold, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001321062,British Library HMNTS 10250.i.13.
1321156,,2 Th. Helmstedt,1863,,F,"Freiligrath, Ferdinand, ","Seeliger, H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001321156,British Library HMNTS 11601.f.5.
1321211,,Berlin,1845,,Die historisch-politische Schule und Böhmer's geschichtliche Ansichten,"Freimund, Adolph , ","Boehmer, Johann Friedrich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001321211,British Library HMNTS 9005.dd.7.
1321989,,London,1872,,Poems and miscellaneous Pieces ,"Fremont, Anne A, ","Fearn, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001321989,British Library HMNTS 11652.bb.36.
1322635,,London,1878,,A French Heiress in her own Château,,"Hennessy, W, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001322635,British Library HMNTS 12641.aa.38.
1322642,,Edinburgh,1873,,French Home Life,,"Marshall, Frederic , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001322642,British Library HMNTS 10169.f.41.
1322908,,London,1892,Chapman and Hall,"The Romance of a French Parsonage: or, the Double Sacrifice",,"Edwards, Matilda Barbara Betham, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001322908,British Library HMNTS 012634.l.10.
1322984,,"2 series. London, Beccles [printed]",1876-78,,French Pictures in English Chalk,,"Murray, Eustace Clare Grenville, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001322984,British Library HMNTS 12638.l.21.
1324076,,New York,[1899],M. F. Mansfield & A. Wessels,Some Account of the Capture of the ship “Aurora,"Freneau, Philip Morin, ","Milles, Jay, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001324076,British Library HMNTS 9605.ee.25.
1324303,,Hannover,1889,,Deutschlands Kolonien,"Frenzel, Carl , ","Wende, G, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001324303,British Library HMNTS 10024.f.18.
1324444,,Stepney Green,1890,G. Reynolds,"A Sketch of the Parochial History of Barley, Herts, together with some account of ","Frere, Arthur Howard , ","Frere, Walter Howard , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001324444,British Library HMNTS 10348.d.19.(7.)
1324565,,London,1872,,The Works of J,"Frere, John Hookham , ","Frere, Henry Bartle Edward , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001324565,British Library HMNTS 12272.h.7.
1326913,,London,1761,,The Fribbleriad,,"Z, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001326913,British Library HMNTS 644.k.18.(2.)
1327353,,Minden i. Westf,1889,,Geschichtlichkritische Feldzüge durch das nordöstliche Westfalen ,"Fricke, Wilhelm , ","Varus, Publius Quintilius, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001327353,British Library HMNTS 9335.c.2.
1329612,,"pp. 364. Digby & Long: London, 1887",,,Mine own familiar Friend,,"Graham, Scott , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001329612,British Library HMNTS 012633.h.18.
1330970,,Kjøbenhavn,1880,,A,"Fries, Theodor Magnus, ","NordenskiöLd, Nils Adolf Erik , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001330970,British Library HMNTS 10460.e.2.
1330988,,Stockholm,1869,,Svenska Polar-Expeditionen år 1868 med kronoåufartyget Sofia,"Fries, Theodor Magnus , ","NyströM, C, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001330988,British Library HMNTS 10460.dd.9.
1331199,,Wirzburg,1883,,Die Geschichte des Bauern-Krieges in Ost-Franken ,"Friess, Lorenz , ","Henner, Theodor, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001331199,British Library HMNTS 9327.e.9.
1332199,,Monza,1841,,Memorie storiche della città di Monza compilate sull' opera del Canonico A,"Frisi, Antonio Francesco, ","Marimonti, Giuseppe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001332199,British Library HMNTS 10132.d.5.|British Library HMNTS 10131.e.15.
1332459,,London,1880 [1879],"S. Low, etc.",Our Square Circle,"Friswell, James Hain, ","Friswell, Afterwards Myall, Laura Hain, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001332459,British Library HMNTS 12625.m.12.
1332499,,London,1862,"Smith, Elder & Co.","Egypt, Nubia, and Ethiopia","Frith, Francis, ","Bonomi, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001332499,British Library HMNTS 10095.g.34.
1333255,,Ferrara,1847-50,,Memorie per la storia di Ferrara raccolte da A,"Frizzi, Antonio, ","Laderchi, Cammillo , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001333255,British Library HMNTS 10131.f.22.
1333597,,Zürich,1836,,Mittheilungen aus dem Gebiete der theoretischen Erdkunde,"Froebel, Julius , ","Heer, Oswald, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001333597,British Library HMNTS 10004.h.22.
1334196,,Paris,1892,,Mémoire du pays et des états de Bigorre ,"Froidour, Louis De, ","Bourdette, Jean, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001334196,British Library HMNTS 010168.g.14.
1334269,,London,[1880],Sampson Low & Co.,"The Boy's Froissart, being  Sir J","Froissart, Jean, ","Lanier, Sidney Clopton, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001334269,British Library HMNTS 9076.ee.7.
1334271,,London,[1899],"Wells, Gardner, Darton & Co.",Stories from Froissart,"Froissart, Jean, ","Browne, Gordon Frederick, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001334271,British Library HMNTS 9220.d.22.
1334803,,Leipzig,[1858],,Europa's Eden in Bildern,"Frommel, Carl, ","Catel, Franz, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001334803,British Library HMNTS 10132.d.4.
1334960,,Reprinted at the Auchinleck press,1816-18,,Frondes Caducæ,,"Boswell, Alexander , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001334960,British Library HMNTS 641.i.15-19**.|British Library HMNTS G.278-9.|British Library HMNTS 807.e.21.|British Library HMNTS 11641.g.54.
