Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
2806378,,London,1823,,Anecdotes of the Spanish and Portuguese Revolutions,"Pecchio, Giuseppe , ","Blaquiere, Edward, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002806378,British Library HMNTS 1060.g.15.
2807727,,Edinburgh,1842,W. Whyte and Co.,"Eight Weeks in Germany; comprising narratives, descriptions and directions for economical tourists",,"Aiton, John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002807727,British Library HMNTS 791.c.29.
2808110,,Lisboa,1854,,"O Muata Cazembe, e os Povos Maraves, Chévas, Muizas, Muembas, Lundas e outros da Africa Austral","Pedroso Gamitto, Antonio Candido, ","Kazembe, Chibangu Keleka , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002808110,British Library HMNTS 10096.g.22.|British Library HMNTS 10095.d.12.
2808159,,Selkirk,1894,J. Lewis,The Three Tales of the Three Priests of Peebles,,"Gunn, Clement Bryce, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002808159,British Library HMNTS 11622.ee.11.
2808162,Second edition ... enlarged.,Peebles,[1881],J. Watson,],,"Watson, James , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002808162,British Library HMNTS 010370.f.65.
2808801,,London,1819,Printed for the Author,"A Peep at Deans, Chapters, and very wise Archdeacons; in a letter to the ",,"Atkinson, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002808801,British Library HMNTS 10347.ee.16.(7.)|British Library HMNTS 8219.pp.45.(5.)
2809534,,London,1871,,"The Fortunate Isles; or, the Archipelago of the Canaries, ","PéGot Ogier, EugèNe, ","Locock, Frances, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002809534,British Library HMNTS 10096.bbb.18.
2810116,,Philadelphia,1879,Everts & Ensign,"History of Toga, Chemung, Tompkins, and Schuyler Counties, New York","Peirce, Henry B, ","H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002810116,British Library HMNTS 10410.ff.4.
2811288,,London,1754,,"Verses on the subject of Death, sacred to the memories of several great personages, ","Pelham, Henry","Lee, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002811288,British Library HMNTS 643.k.7.(6.)
2811702,,Firenze,1841,,"Il Mediterraneo illustrato, le sue isole e le sue spiagge ","Pellé, Clement, ","Allen, Henry Edmund, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002811702,British Library HMNTS 10027.h.9.
2811710,,Paris,1894,[Printed for private circulation],"Lettres d'Italie, 1856-1857","Pellechet, Jules, ","Pellechet, Catherine, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002811710,British Library HMNTS 010136.df.56.
2812462,,Cambridge [Mass.],1897,Charles W. Seaver,Francesca da Rimini,"Pellico, Silvio, ","Bingham, Joel Foote, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002812462,British Library HMNTS 11781.gg.49.
2812820,,Buenos Airês,1894,,La Dictadura de Rosas,"Pelliza, Mariano A, ","Rosas, Juan Manuel De , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002812820,British Library HMNTS 9772.b.19.
2813525,,London,1865,Hurst and Blackett,The Pemberton Family,,"De Winton, Afterwards Stretton, Julia Cecilia, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002813525,British Library HMNTS 12630.aaa.6.
2813979,,London,1891,,A,,"Whitaker, Evelyn, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002813979,British Library HMNTS 012631.i.31.
2814068,,Caracas,1826,,Defensa en la causa del Coronel L,"PeñA, Miguel, ","Infante, Leonardo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002814068,British Library HMNTS 9781.a.4.
2814284,,Madrid,1889,,Las Calles de Madrid,"PeñAsco De La Puente, Hilario , ","Cambronero, Carlos, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002814284,British Library HMNTS 10161.e.4.
2814778,,London,1866,Richard Bentley,"Paul Pendril; or, Sport and Adventure in Corsica","Pendril, Paul, ","Davies, Edward William Lewis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002814778,British Library HMNTS 12620.cc.18.
2815003,,London,1863,,"On the lignite formation of Bovey Tracey, Devonshire ","Pengelly, William , ","Heer, Oswald, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002815003,British Library HMNTS 7105.ee.17.
2815063,[Another edition.] (Memoir of ... S. Penhallow ... by N. Adams.) [With a preface by B. Colman.],Cincinnati,1859,,],"Penhallow, Samuel, ","Colman, Benjamin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002815063,British Library HMNTS 9602.d.23.
2815352,,London,1859,,"An Ancient Survey of Pen Maen Mawr, North Wales, from the original manuscript  of the time of Charles I",,"Gwynn, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002815352,British Library HMNTS 10369.c.24.
2815920,[Another edition.] Wallis's Guide to London. [Abridged from Pennant's London] ... Fourth edition.,London,1814,Sherwood & Co.,,"Pennant, Thomas, ","Wallis, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002815920,British Library HMNTS 10349.cc.19.
2815953,,Caernarfon,[1883],H. Humphreys,"Teithiau yn Nghymru; ref, Cyfieithiad o'r “Tours in Wales” ","Pennant, Thomas, ","Parkins, William Trevor, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002815953,British Library HMNTS 010370.k.82.
2816009,,"pp. 161. J. F. Shaw and Co.: London, [1886.]",,,Songs of the Pilgrim Land ,"Pennefather, Catherine , ","H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816009,British Library HMNTS 11651.f.25.
2816063,,London,1898,T. F. Unwin,Over the Alps on a Bicycle ,"Pennell, Elizabeth Robins, ","Pennell, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816063,British Library HMNTS 10196.e.26.
2816065,,London,1893,T. F. Unwin,To Gipsyland ,"Pennell, Elizabeth Robins, ","Pennell, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816065,British Library HMNTS 10007.bb.16.
2816096,,London,1877,,Pegasus re-saddled,"Cholmondeley, ","Du Maurier, George",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816096,British Library HMNTS 11652.h.14.
2816144,[Another edition.],New York,1885,C. Scribner's Sons,,"Pennell, Joseph , ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816144,British Library HMNTS 10352.c.35.
2816145,,London,1887,Seeley & Co.,An Italian Pilgrimage,"Pennell, Joseph , ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816145,British Library HMNTS 10131.ee.2.
2816148,,London,"1890, [1889]",T. Fisher Unwin,Our Journey to the Hebrides,"Pennell, Joseph , ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816148,British Library HMNTS 10369.ee.3.
2816149,,London,1888,Longmans & Co.,Our Sentimental Journey through France and Italy,"Pennell, Joseph , ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816149,British Library HMNTS 10168.cc.4.
2816150,,London,1893,T. F. Unwin,Our Sentimental Journey through France and Italy ,"Pennell, Joseph , ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816150,British Library HMNTS 010168.e.1.
2816151,,London,1892,T. F. Unwin,Play in Provence: being a series of sketches written and drawn by J,"Pennell, Joseph , ","Pennell, Elizabeth Robins, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816151,British Library HMNTS 010171.e.11.|British Library HMNTS 010171.e.15.
2816237,,Edinburgh,1832,,A topographical and historical account of Linlithgowshire,"Penney, John , ","Maidment, James, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002816237,British Library HMNTS 797.b.26.
2817163,,Penrith,1858?],,History of Penrith,,"Walker, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002817163,British Library HMNTS 010368.ff.14.
2817397,,Paris,1894,,L'Algérie ,"Pensa, Henri, ","Combes, Justin Louis ÉMile, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002817397,British Library HMNTS 010096.ee.45.
2817852,,Penzance,1823,T. Vigurs,"The petition of an old uninhabited house in Penzance to its master in town: with hints to the author of John Bull, a comedy ",,"Le Grice, Charles Valentine, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002817852,British Library HMNTS 11645.f.46.(3.)
2819320,,"Cleveland, Ohio",1881,W. W. Williams,1842,"Percival, C, ","Percival, Elizabeth, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819320,British Library HMNTS 10408.k.2.
2819664,[Another edition.],London,1827,,],"Percy, Henry Algernon , ","Percy, Thomas",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819664,British Library HMNTS 807.d.16.
2819742,,London,"1867, 68",N. Trübner & Co.,Bishop Percy's Folio Manuscript ,"Percy, Thomas , ","Chappell, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819742,British Library HMNTS 2292.h.8.|British Library HMNTS 11621.i.6-10.
2819798,"[Another edition.] With memoir and critical dissertation ... by G. Gilfillan, etc. [The text edited by Charles Cowden Clarke.]",Edinburgh,1858,,,"Percy, Thomas , ","Clarke, Charles Cowden, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819798,British Library HMNTS 11603.g.13-15.
2819799,[Another edition.] Edited by R. A. Willmott.,London,[1893.],Routledge & Sons,,"Percy, Thomas , ","Willmott, Robert Eldridge Aris, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819799,British Library HMNTS 11621.f.38.|British Library HMNTS 11621.bbb.31.
2819802,"[Another edition.] Edited, with ... introduction, additional preface, notes, etc. by H. B. Wheatley. L.P.",London,1876,,,"Percy, Thomas , ","Wheatley, Henry Benjamin, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819802,British Library HMNTS 11621.k.1.
2819817,,London,[1883.],Sampson Low & Co.,"The Boy's Percy, being old ballads of war, adventure and love, from Bishop Thomas Percy's Reliques of Ancient English Poetry, together with an appendix containing two ballads from the original Percy Folio MS","Percy, Thomas , ","Bensell, Edmund Birckhead, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819817,British Library HMNTS 11622.e.11.
2819898,,London,1820,,One Lay of a Night-Harper to his Queen,,"Senwod, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002819898,British Library HMNTS 992.i.25.(6.)
2820541,,Lisboa,1859,,"Memoria sobre o pinhal nacional de Leiria, suas madeiras e productos rezinosos ","Pereira Da Silva, Francisco Maria , ","Batalha, Caetano Maria, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002820541,British Library HMNTS 10161.d.11.
2822483,,London,[1893.],Digby & Long,Marianela,"PéRez GaldóS, Benito","Wharton, Mary , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002822483,British Library HMNTS 012630.ee.59.
2822685,,Barcelona,1872,,Historia de la insurreccion de Lares,"Perez MoríS, José , ","Cueto Y GonzáLez Quijano, Luis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002822685,British Library HMNTS 9771.h.11.
2822910,,México,1874-76,,"Diccionario geográfico, histórico, biográfico, de industria y comercio de la República Mexicana, escrito en parte y arreglado en otra por ","Perez Y Hernandez, José MaríA , ","Chavero, Alfredo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002822910,British Library HMNTS 10481.y.1.
